Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
211,JJ Arcega-Whiteside,WR,22.258,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,4,1,4,4.00,0,25.0%,1.00
212,Kendrick Bourne,WR,24.042,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,2,1,4,4.00,0,50.0%,2.00
213,Todd Gurley,RB,25.043,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,4,3,4,1.33,0,75.0%,1.00
214,Demetrius Harris,TE,28.049,2019-09-16,NFL,CLE,@,NYJ,W 23-3,2,2,Mon,1,1,4,4.00,0,100.0%,4.00
215,Luke Stocker,TE,31.060,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,1,1,4,4.00,0,100.0%,4.00
216,Jordan Wilkins,RB,25.059,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,1,1,4,4.00,0,100.0%,4.00
217,Patrick DiMarco,FB,30.138,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,1,1,3,3.00,0,100.0%,3.00
218,Rashaad Penny,RB,23.225,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,1,1,3,3.00,0,100.0%,3.00
219,Tony Pollard,RB,22.138,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,1,1,3,3.00,0,100.0%,3.00
220,Patrick Ricard,FB/DL,25.111,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,1,1,3,3.00,0,100.0%,3.00
221,Steven Sims,WR,22.168,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,1,1,3,3.00,0,100.0%,3.00
222,Derek Watt,FB,26.312,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,2,1,3,3.00,0,50.0%,1.50
223,Dede Westbrook,WR,25.298,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,5,1,3,3.00,0,20.0%,0.60
224,Anthony Miller,WR,24.341,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,1,1,2,2.00,0,100.0%,2.00
225,Jalen Richard,RB,25.335,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,3,2,2,1.00,0,66.7%,0.67
226,Hayden Hurst,TE,26.022,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,1,1,1,1.00,1,100.0%,1.00
227,David Quessenberry ,OL,29.022,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,1,1,1,1.00,1,100.0%,1.00
228,David Johnson,RB,27.273,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,1,1,0,0.00,0,100.0%,0.00
229,LeSean McCoy,RB,31.065,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,3,3,0,0.00,0,100.0%,0.00
230,Ryan Switzer,WR,24.315,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,4,1,0,0.00,0,25.0%,0.00
231,Adam Humphries,WR,26.083,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,2,2,-1,-0.50,0,100.0%,-0.50
232,Irv Smith Jr.,TE,21.037,2019-09-15,NFL,MIN,@,GNB,L 16-21,2,2,Sun,2,1,-1,-1.00,0,50.0%,-0.50
233,Demaryius Thomas,WR,31.265,2019-09-16,NFL,NYJ,,CLE,L 3-23,2,2,Mon,2,1,-1,-1.00,0,50.0%,-0.50
234,Ryan Grant,WR,28.270,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,5,1,-2,-2.00,0,20.0%,-0.40
235,Deonte Harris,WR/RS,21.285,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,1,1,-7,-7.00,0,100.0%,-7.00
1,Mike Evans,WR,26.032,2019-09-22,NFL,TAM,,NYG,L 31-32,3,3,Sun,15,8,190,23.75,3,53.3%,12.67
2,Keenan Allen,WR,27.148,2019-09-22,NFL,LAC,,HOU,L 20-27,3,3,Sun,17,13,183,14.08,2,76.5%,10.76
3,Tyler Lockett,WR,26.359,2019-09-22,NFL,SEA,,NOR,L 27-33,3,3,Sun,14,11,154,14.00,1,78.6%,11.00
4,Darren Waller,TE,27.009,2019-09-22,NFL,OAK,@,MIN,L 14-34,3,3,Sun,14,13,134,10.31,0,92.9%,9.57
5,Julio Jones ,WR,30.226,2019-09-22,NFL,ATL,@,IND,L 24-27,3,3,Sun,9,8,128,16.00,1,88.9%,14.22
6,Evan Engram ,TE,25.020,2019-09-22,NFL,NYG,@,TAM,W 32-31,3,3,Sun,8,6,113,18.83,1,75.0%,14.13
7,Brandin Cooks,WR,25.362,2019-09-22,NFL,LAR,@,CLE,W 20-13,3,3,Sun,12,8,112,14.00,0,66.7%,9.33
8,Marvin Jones ,WR,29.194,2019-09-22,NFL,DET,@,PHI,W 27-24,3,3,Sun,9,6,101,16.83,1,66.7%,11.22
9,Cooper Kupp,WR,26.099,2019-09-22,NFL,LAR,@,CLE,W 20-13,3,3,Sun,12,11,101,9.18,2,91.7%,8.42
