Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
160,Darius Slayton,WR,22.260,2019-09-29,NFL,NYG,,WAS,W 24-3,4,4,Sun,2,2,13,6.50,0,100.0%,6.50
161,Justin Watson,WR,24.178,2019-09-29,NFL,TAM,@,LAR,W 55-40,4,4,Sun,1,1,13,13.00,0,100.0%,13.00
162,Sean Culkin,TE,26.110,2019-09-29,NFL,LAC,@,MIA,W 30-10,4,4,Sun,1,1,12,12.00,0,100.0%,12.00
163,Darren Fells,TE,33.160,2019-09-29,NFL,HOU,,CAR,L 10-16,4,4,Sun,1,1,12,12.00,0,100.0%,12.00
164,Ronald Jones II,RB,22.057,2019-09-29,NFL,TAM,@,LAR,W 55-40,4,4,Sun,1,1,12,12.00,0,100.0%,12.00
165,Kyle Rudolph ,TE,29.324,2019-09-29,NFL,MIN,@,CHI,L 6-16,4,4,Sun,1,1,12,12.00,0,100.0%,12.00
166,Keke Coutee,WR,22.258,2019-09-29,NFL,HOU,,CAR,L 10-16,4,4,Sun,3,1,11,11.00,0,33.3%,3.67
167,Robert Davis,WR,24.180,2019-09-29,NFL,WAS,@,NYG,L 3-24,4,4,Sun,2,1,11,11.00,0,50.0%,5.50
168,J.D. McKissic,RB,26.045,2019-09-29,NFL,DET,,KAN,L 30-34,4,4,Sun,2,1,11,11.00,0,50.0%,5.50
169,Anthony Miller,WR,24.355,2019-09-29,NFL,CHI,,MIN,W 16-6,4,4,Sun,3,2,11,5.50,0,66.7%,3.67
170,Robert Tonyan,TE,25.149,2019-09-26,NFL,GNB,,PHI,L 27-34,4,4,Thu,1,1,11,11.00,0,100.0%,11.00
171,Mark Walton,RB,22.184,2019-09-29,NFL,MIA,,LAC,L 10-30,4,4,Sun,2,2,11,5.50,0,100.0%,5.50
172,Jordan Wilkins,RB,25.073,2019-09-29,NFL,IND,,OAK,L 24-31,4,4,Sun,1,1,11,11.00,0,100.0%,11.00
173,Phillip Dorsett,WR,26.267,2019-09-29,NFL,NWE,@,BUF,W 16-10,4,4,Sun,9,2,10,5.00,0,22.2%,1.11
174,C.J. Ham,FB,26.069,2019-09-29,NFL,MIN,@,CHI,L 6-16,4,4,Sun,4,3,10,3.33,0,75.0%,2.50
175,Trey Quinn,WR,23.296,2019-09-29,NFL,WAS,@,NYG,L 3-24,4,4,Sun,4,2,10,5.00,0,50.0%,2.50
176,Damion Ratley,WR,24.166,2019-09-29,NFL,CLE,@,BAL,W 40-25,4,4,Sun,3,1,10,10.00,0,33.3%,3.33
177,Nick Boyle,TE,26.224,2019-09-29,NFL,BAL,,CLE,L 25-40,4,4,Sun,1,1,9,9.00,0,100.0%,9.00
178,Isaiah Ford,WR,23.232,2019-09-29,NFL,MIA,,LAC,L 10-30,4,4,Sun,3,2,9,4.50,0,66.7%,3.00
179,Mecole Hardman,WR,21.201,2019-09-29,NFL,KAN,@,DET,W 34-30,4,4,Sun,5,2,9,4.50,0,40.0%,1.80
180,Justice Hill,RB,21.319,2019-09-29,NFL,BAL,,CLE,L 25-40,4,4,Sun,2,2,9,4.50,0,100.0%,4.50
181,David Moore,WR,24.257,2019-09-29,NFL,SEA,@,ARI,W 27-10,4,4,Sun,2,1,9,9.00,0,50.0%,4.50
182,Nick O'Leary,TE,27.029,2019-09-29,NFL,MIA,,LAC,L 10-30,4,4,Sun,1,1,9,9.00,0,100.0%,9.00
183,Gus Edwards ,RB,24.169,2019-09-29,NFL,BAL,,CLE,L 25-40,4,4,Sun,1,1,8,8.00,0,100.0%,8.00
184,Derrick Henry ,RB,25.268,2019-09-29,NFL,TEN,@,ATL,W 24-10,4,4,Sun,1,1,8,8.00,0,100.0%,8.00
185,Alexander Mattison,RB,21.102,2019-09-29,NFL,MIN,@,CHI,L 6-16,4,4,Sun,1,1,8,8.00,0,100.0%,8.00
186,Diontae Spencer,WR,27.194,2019-09-29,NFL,DEN,,JAX,L 24-26,4,4,Sun,1,1,8,8.00,0,100.0%,8.00
187,DeAndre Washington,RB,26.219,2019-09-29,NFL,OAK,@,IND,W 31-24,4,4,Sun,3,2,8,4.00,0,66.7%,2.67
188,Damion Willis,WR,22.102,2019-09-30,NFL,CIN,@,PIT,L 3-27,4,4,Mon,1,1,8,8.00,0,100.0%,8.00
189,Ryquell Armstead,RB,22.334,2019-09-29,NFL,JAX,@,DEN,W 26-24,4,4,Sun,1,1,7,7.00,1,100.0%,7.00
190,Rex Burkhead ,RB,29.089,2019-09-29,NFL,NWE,@,BUF,W 16-10,4,4,Sun,1,1,7,7.00,0,100.0%,7.00
191,Tarik Cohen,RB,24.065,2019-09-29,NFL,CHI,,MIN,W 16-6,4,4,Sun,5,2,7,3.50,1,40.0%,1.40
192,J.P. Holtz,TE,26.032,2019-09-29,NFL,CHI,,MIN,W 16-6,4,4,Sun,1,1,7,7.00,0,100.0%,7.00
193,Phillip Lindsay,RB,25.067,2019-09-29,NFL,DEN,,JAX,L 24-26,4,4,Sun,1,1,7,7.00,0,100.0%,7.00
194,Jakeem Grant,WR,26.364,2019-09-29,NFL,MIA,,LAC,L 10-30,4,4,Sun,1,1,6,6.00,0,100.0%,6.00
195,Chris Hogan ,WR,31.340,2019-09-29,NFL,CAR,@,HOU,W 16-10,4,4,Sun,1,1,6,6.00,0,100.0%,6.00
196,Carlos Hyde,RB,29.009,2019-09-29,NFL,HOU,,CAR,L 10-16,4,4,Sun,5,4,6,1.50,0,80.0%,1.20
197,Darius Jennings,WR,27.093,2019-09-29,NFL,TEN,@,ATL,W 24-10,4,4,Sun,1,1,6,6.00,0,100.0%,6.00
198,D.K. Metcalf,WR,21.289,2019-09-29,NFL,SEA,@,ARI,W 27-10,4,4,Sun,4,1,6,6.00,0,25.0%,1.50
199,Latavius Murray,RB,29.254,2019-09-29,NFL,NOR,,DAL,W 12-10,4,4,Sun,1,1,6,6.00,0,100.0%,6.00
200,Andre Roberts,WR,31.263,2019-09-29,NFL,BUF,,NWE,L 10-16,4,4,Sun,1,1,6,6.00,0,100.0%,6.00
201,Adam Thielen,WR,29.038,2019-09-29,NFL,MIN,@,CHI,L 6-16,4,4,Sun,6,2,6,3.00,0,33.3%,1.00
202,Tavon Austin,WR,29.198,2019-09-29,NFL,DAL,@,NOR,L 10-12,4,4,Sun,1,1,5,5.00,0,100.0%,5.00
203,Vernon Davis ,TE,35.241,2019-09-29,NFL,WAS,@,NYG,L 3-24,4,4,Sun,4,1,5,5.00,0,25.0%,1.25
204,Marqise Lee ,WR,27.308,2019-09-29,NFL,JAX,@,DEN,W 26-24,4,4,Sun,1,1,5,5.00,0,100.0%,5.00
205,Greg Olsen,TE,34.202,2019-09-29,NFL,CAR,@,HOU,W 16-10,4,4,Sun,4,2,5,2.50,0,50.0%,1.25
206,Irv Smith Jr.,TE,21.051,2019-09-29,NFL,MIN,@,CHI,L 6-16,4,4,Sun,1,1,5,5.00,0,100.0%,5.00
207,Jonnu Smith,TE,24.038,2019-09-29,NFL,TEN,@,ATL,W 24-10,4,4,Sun,1,1,5,5.00,0,100.0%,5.00
208,Nick Bawden,FB,23.099,2019-09-29,NFL,DET,,KAN,L 30-34,4,4,Sun,2,1,4,4.00,0,50.0%,2.00
209,Zay Jones ,WR,24.183,2019-09-29,NFL,BUF,,NWE,L 10-16,4,4,Sun,8,2,4,2.00,0,25.0%,0.50
210,Dion Lewis,RB,29.002,2019-09-29,NFL,TEN,@,ATL,W 24-10,4,4,Sun,5,4,4,1.00,0,80.0%,0.80
211,Delanie Walker,TE,35.048,2019-09-29,NFL,TEN,@,ATL,W 24-10,4,4,Sun,2,1,4,4.00,0,50.0%,2.00
212,Charles Clay,TE,30.228,2019-09-29,NFL,ARI,,SEA,L 10-27,4,4,Sun,2,1,3,3.00,0,50.0%,1.50
213,Bennie Fowler,WR,28.111,2019-09-29,NFL,NYG,,WAS,W 24-3,4,4,Sun,2,1,3,3.00,0,50.0%,1.50
214,Zach Line ,FB,29.126,2019-09-29,NFL,NOR,,DAL,W 12-10,4,4,Sun,1,1,3,3.00,0,100.0%,3.00
215,Cordarrelle Patterson,WR,28.196,2019-09-29,NFL,CHI,,MIN,W 16-6,4,4,Sun,1,1,3,3.00,0,100.0%,3.00
216,Ty Johnson,RB,22.012,2019-09-29,NFL,DET,,KAN,L 30-34,4,4,Sun,1,1,1,1.00,0,100.0%,1.00
217,Joe Mixon,HB,23.068,2019-09-30,NFL,CIN,@,PIT,L 3-27,4,4,Mon,5,4,1,0.25,0,80.0%,0.20
218,Jalen Richard,RB,25.349,2019-09-29,NFL,OAK,@,IND,W 31-24,4,4,Sun,1,1,1,1.00,0,100.0%,1.00
219,Mark Ingram,RB,29.282,2019-09-29,NFL,BAL,,CLE,L 25-40,4,4,Sun,1,1,0,0.00,0,100.0%,0.00
220,Jamaal Williams,RB,24.176,2019-09-26,NFL,GNB,,PHI,L 27-34,4,4,Thu,1,1,0,0.00,0,100.0%,0.00
1,Amari Cooper,WR,25.111,2019-10-06,NFL,DAL,,GNB,L 24-34,5,5,Sun,14,11,226,20.55,1,78.6%,16.14
2,Will Fuller,WR,25.173,2019-10-06,NFL,HOU,,ATL,W 53-32,5,5,Sun,16,14,217,15.50,3,87.5%,13.56
3,Michael Thomas,WR,26.217,2019-10-06,NFL,NOR,,TAM,W 31-24,5,5,Sun,13,11,182,16.55,2,84.6%,14.00
4,DJ Chark,WR,23.013,2019-10-06,NFL,JAX,@,CAR,L 27-34,5,5,Sun,11,8,164,20.50,2,72.7%,14.91
5,Gerald Everett,TE,25.100,2019-10-03,NFL,LAR,@,SEA,L 29-30,5,5,Thu,11,7,136,19.43,0,63.6%,12.36
6,Adam Thielen,WR,29.045,2019-10-06,NFL,MIN,@,NYG,W 28-10,5,5,Sun,8,7,130,18.57,2,87.5%,16.25
7,Chris Godwin,WR,23.221,2019-10-06,NFL,TAM,@,NOR,L 24-31,5,5,Sun,9,7,125,17.86,2,77.8%,13.89
8,Tyler Boyd,WR,24.325,2019-10-06,NFL,CIN,,ARI,L 23-26,5,5,Sun,14,10,123,12.30,1,71.4%,8.79
9,Cooper Kupp,WR,26.110,2019-10-03,NFL,LAR,@,SEA,L 29-30,5,5,Thu,17,9,117,13.00,1,52.9%,6.88
10,Michael Gallup,WR,23.185,2019-10-06,NFL,DAL,,GNB,L 24-34,5,5,Sun,14,7,113,16.14,1,50.0%,8.07
11,Julian Edelman,WR,33.137,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,9,8,110,13.75,1,88.9%,12.22
12,Byron Pringle,WR,25.323,2019-10-06,NFL,KAN,,IND,L 13-19,5,5,Sun,8,6,103,17.17,1,75.0%,12.88
13,Allen Robinson,WR,26.043,2019-10-06,NFL,CHI,@,OAK,L 21-24,5,5,Sun,9,7,97,13.86,2,77.8%,10.78
14,Courtland Sutton,WR,23.361,2019-10-06,NFL,DEN,@,LAC,W 20-13,5,5,Sun,7,4,92,23.00,1,57.1%,13.14
15,D.J. Moore,WR,22.175,2019-10-06,NFL,CAR,,JAX,W 34-27,5,5,Sun,8,6,91,15.17,0,75.0%,11.38
16,DeAndre Hopkins,WR,27.122,2019-10-06,NFL,HOU,,ATL,W 53-32,5,5,Sun,8,7,88,12.57,0,87.5%,11.00
17,Calvin Ridley,WR,24.290,2019-10-06,NFL,ATL,@,HOU,L 32-53,5,5,Sun,9,5,88,17.60,1,55.6%,9.78
18,Dalvin Cook,RB,24.057,2019-10-06,NFL,MIN,@,NYG,W 28-10,5,5,Sun,6,6,86,14.33,0,100.0%,14.33
19,Austin Ekeler,RB,24.142,2019-10-06,NFL,LAC,,DEN,L 13-20,5,5,Sun,16,15,86,5.73,0,93.8%,5.38
20,Dede Westbrook,WR,25.319,2019-10-06,NFL,JAX,@,CAR,L 27-34,5,5,Sun,11,7,82,11.71,0,63.6%,7.45
21,Will Dissly,TE,23.087,2019-10-03,NFL,SEA,,LAR,W 30-29,5,5,Thu,4,4,81,20.25,0,100.0%,20.25
22,Mecole Hardman,WR,21.208,2019-10-06,NFL,KAN,,IND,L 13-19,5,5,Sun,6,4,79,19.75,0,66.7%,13.17
23,John Brown,WR,29.186,2019-10-06,NFL,BUF,@,TEN,W 14-7,5,5,Sun,5,5,75,15.00,0,100.0%,15.00
24,Aaron Jones,RB,24.308,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,8,7,75,10.71,0,87.5%,9.38
25,Jarvis Landry,WR,26.313,2019-10-07,NFL,CLE,@,SFO,L 3-31,5,5,Mon,6,4,75,18.75,0,66.7%,12.50
26,JuJu Smith-Schuster,WR,22.318,2019-10-06,NFL,PIT,,BAL,L 23-26,5,5,Sun,7,7,75,10.71,1,100.0%,10.71
27,Mike Williams ,WR,25.002,2019-10-06,NFL,LAC,,DEN,L 13-20,5,5,Sun,13,6,74,12.33,0,46.2%,5.69
28,Keke Coutee,WR,22.265,2019-10-06,NFL,HOU,,ATL,W 53-32,5,5,Sun,4,3,72,24.00,0,75.0%,18.00
29,Travis Kelce,TE,30.001,2019-10-06,NFL,KAN,,IND,L 13-19,5,5,Sun,10,4,70,17.50,0,40.0%,7.00
30,George Kittle,TE,25.363,2019-10-07,NFL,SFO,,CLE,W 31-3,4,5,Mon,8,6,70,11.67,1,75.0%,8.75
31,David Johnson,RB,27.294,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,5,3,65,21.67,0,60.0%,13.00
32,Darius Slayton,WR,22.267,2019-10-06,NFL,NYG,,MIN,L 10-28,5,5,Sun,5,4,62,15.50,1,80.0%,12.40
33,Christian McCaffrey ,RB,23.121,2019-10-06,NFL,CAR,,JAX,W 34-27,5,5,Sun,8,6,61,10.17,1,75.0%,7.63
34,Josh Gordon,WR,28.176,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,8,5,59,11.80,0,62.5%,7.38
35,Larry Fitzgerald,WR,36.036,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,8,6,58,9.67,0,75.0%,7.25
36,Zach Ertz,TE,28.330,2019-10-06,NFL,PHI,,NYJ,W 31-6,5,5,Sun,7,5,57,11.40,1,71.4%,8.14
37,James O'Shaughnessy,TE,27.265,2019-10-06,NFL,JAX,@,CAR,L 27-34,5,5,Sun,4,3,57,19.00,0,75.0%,14.25
38,Jonnu Smith,TE,24.045,2019-10-06,NFL,TEN,,BUF,L 7-14,5,5,Sun,2,1,57,57.00,0,50.0%,28.50
39,Austin Hooper,TE,24.336,2019-10-06,NFL,ATL,@,HOU,L 32-53,5,5,Sun,9,6,56,9.33,0,66.7%,6.22
40,Randall Cobb,WR,29.045,2019-10-06,NFL,DAL,,GNB,L 24-34,5,5,Sun,6,3,53,17.67,0,50.0%,8.83
41,Alshon Jeffery,WR,29.234,2019-10-06,NFL,PHI,,NYJ,W 31-6,5,5,Sun,8,6,52,8.67,0,75.0%,6.50
42,Isaiah McKenzie,WR,24.180,2019-10-06,NFL,BUF,@,TEN,W 14-7,5,5,Sun,2,2,52,26.00,0,100.0%,26.00
43,Anthony Miller,WR,24.362,2019-10-06,NFL,CHI,@,OAK,L 21-24,5,5,Sun,7,4,52,13.00,0,57.1%,7.43
44,James Washington,WR,23.187,2019-10-06,NFL,PIT,,BAL,L 23-26,5,5,Sun,6,3,52,17.33,0,50.0%,8.67
45,Tyler Lockett,WR,27.005,2019-10-03,NFL,SEA,,LAR,W 30-29,5,5,Thu,4,4,51,12.75,1,100.0%,12.75
46,Terry McLaurin ,WR,24.021,2019-10-06,NFL,WAS,,NWE,L 7-33,5,5,Sun,7,3,51,17.00,0,42.9%,7.29
47,Willie Snead ,WR/RS,26.354,2019-10-06,NFL,BAL,@,PIT,W 26-23,5,5,Sun,5,4,51,12.75,0,80.0%,10.20
48,Miles Sanders ,RB,22.158,2019-10-06,NFL,PHI,,NYJ,W 31-6,5,5,Sun,5,4,49,12.25,0,80.0%,9.80
49,Sterling Shepard,WR,26.238,2019-10-06,NFL,NYG,,MIN,L 10-28,5,5,Sun,9,5,49,9.80,0,55.6%,5.44
50,Robert Woods,WR,27.176,2019-10-03,NFL,LAR,@,SEA,L 29-30,5,5,Thu,9,5,48,9.60,0,55.6%,5.33
51,Tyler Higbee,TE,26.275,2019-10-03,NFL,LAR,@,SEA,L 29-30,5,5,Thu,3,3,47,15.67,0,100.0%,15.67
52,Demaryius Thomas,WR,31.285,2019-10-06,NFL,NYJ,@,PHI,L 6-31,4,5,Sun,9,4,47,11.75,0,44.4%,5.22
53,Nyheim Hines,RB,22.328,2019-10-06,NFL,IND,@,KAN,W 19-13,5,5,Sun,5,4,46,11.50,0,80.0%,9.20
54,Foster Moreau,TE,22.153,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,4,4,46,11.50,0,100.0%,11.50
55,James White ,RB,27.245,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,9,6,46,7.67,0,66.7%,5.11
56,Mark Andrews,TE,23.030,2019-10-06,NFL,BAL,@,PIT,W 26-23,5,5,Sun,7,5,45,9.00,0,71.4%,6.43
57,Le'Veon Bell,RB,27.230,2019-10-06,NFL,NYJ,@,PHI,L 6-31,4,5,Sun,9,7,45,6.43,0,77.8%,5.00
58,Ito Smith,RB,24.025,2019-10-06,NFL,ATL,@,HOU,L 32-53,5,5,Sun,6,6,45,7.50,0,100.0%,7.50
59,Stefon Diggs,WR,25.311,2019-10-06,NFL,MIN,@,NYG,W 28-10,5,5,Sun,4,3,44,14.67,0,75.0%,11.00
60,D.K. Metcalf,WR,21.293,2019-10-03,NFL,SEA,,LAR,W 30-29,5,5,Thu,3,2,44,22.00,1,66.7%,14.67
61,Olabisi Johnson,WR,22.203,2019-10-06,NFL,MIN,@,NYG,W 28-10,5,5,Sun,4,4,43,10.75,0,100.0%,10.75
62,Trevor Davis,WR,26.094,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,4,4,42,10.50,0,100.0%,10.50
63,Evan Engram ,TE,25.034,2019-10-06,NFL,NYG,,MIN,L 10-28,5,5,Sun,11,6,42,7.00,0,54.5%,3.82
64,Julio Jones ,WR,30.240,2019-10-06,NFL,ATL,@,HOU,L 32-53,5,5,Sun,7,3,42,14.00,0,42.9%,6.00
65,Alvin Kamara,RB,24.073,2019-10-06,NFL,NOR,,TAM,W 31-24,5,5,Sun,7,6,42,7.00,0,85.7%,6.00
66,Mohamed Sanu,WR,30.045,2019-10-06,NFL,ATL,@,HOU,L 32-53,5,5,Sun,5,5,42,8.40,1,100.0%,8.40
67,Jared Cook,TE,32.182,2019-10-06,NFL,NOR,,TAM,W 31-24,5,5,Sun,6,4,41,10.25,1,66.7%,6.83
68,Marquise Goodwin,WR,28.322,2019-10-07,NFL,SFO,,CLE,W 31-3,4,5,Mon,4,3,41,13.67,0,75.0%,10.25
69,Jimmy Graham,TE,32.316,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,3,3,41,13.67,0,100.0%,13.67
70,Devonta Freeman ,RB,27.205,2019-10-06,NFL,ATL,@,HOU,L 32-53,5,5,Sun,5,5,40,8.00,1,100.0%,8.00
71,Tarik Cohen,RB,24.072,2019-10-06,NFL,CHI,@,OAK,L 21-24,5,5,Sun,7,6,39,6.50,0,85.7%,5.57
72,Josh Hill,TE,29.138,2019-10-06,NFL,NOR,,TAM,W 31-24,5,5,Sun,4,3,39,13.00,0,75.0%,9.75
73,Ryan Izzo,TE,23.289,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,2,2,39,19.50,1,100.0%,19.50
74,Darren Waller,TE,27.023,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,5,4,39,9.75,0,80.0%,7.80
75,Damion Willis,WR,22.108,2019-10-06,NFL,CIN,,ARI,L 23-26,5,5,Sun,4,4,38,9.50,0,100.0%,9.50
76,T.Y. Hilton,WR,29.326,2019-10-06,NFL,IND,@,KAN,W 19-13,5,5,Sun,4,4,37,9.25,0,100.0%,9.25
77,Jaron Brown,WR,29.268,2019-10-03,NFL,SEA,,LAR,W 30-29,5,5,Thu,4,2,36,18.00,0,50.0%,9.00
78,Ted Ginn Jr.,WR,34.177,2019-10-06,NFL,NOR,,TAM,W 31-24,5,5,Sun,2,2,35,17.50,1,100.0%,17.50
79,Vance McDonald,TE,29.115,2019-10-06,NFL,PIT,,BAL,L 23-26,5,5,Sun,3,3,34,11.33,0,100.0%,11.33
80,Pharoh Cooper,WR,24.213,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,2,2,33,16.50,0,100.0%,16.50
81,Phillip Lindsay,RB,25.074,2019-10-06,NFL,DEN,@,LAC,W 20-13,5,5,Sun,4,4,33,8.25,0,100.0%,8.25
82,Hayden Hurst,TE,26.043,2019-10-06,NFL,BAL,@,PIT,W 26-23,5,5,Sun,4,4,32,8.00,0,100.0%,8.00
83,Sony Michel,RB,24.231,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,3,3,32,10.67,0,100.0%,10.67
84,Rashaad Penny,RB,23.243,2019-10-03,NFL,SEA,,LAR,W 30-29,5,5,Thu,2,2,31,15.50,0,100.0%,15.50
85,Demarcus Robinson,WR,25.015,2019-10-06,NFL,KAN,,IND,L 13-19,5,5,Sun,6,3,31,10.33,0,50.0%,5.17
86,Adam Humphries,WR,26.104,2019-10-06,NFL,TEN,,BUF,L 7-14,5,5,Sun,6,4,30,7.50,0,66.7%,5.00
87,Brandon Bolden,RB,29.253,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,1,1,29,29.00,1,100.0%,29.00
88,Brandin Cooks,WR,26.008,2019-10-03,NFL,LAR,@,SEA,L 29-30,5,5,Thu,3,1,29,29.00,0,33.3%,9.67
89,Ezekiel Elliott,RB,24.076,2019-10-06,NFL,DAL,,GNB,L 24-34,5,5,Sun,3,2,29,14.50,0,66.7%,9.67
90,Leonard Fournette ,RB,24.261,2019-10-06,NFL,JAX,@,CAR,L 27-34,5,5,Sun,7,4,29,7.25,0,57.1%,4.14
91,Duke Williams,WR,26.146,2019-10-06,NFL,BUF,@,TEN,W 14-7,5,5,Sun,4,4,29,7.25,1,100.0%,7.25
92,Jason Witten,TE,37.153,2019-10-06,NFL,DAL,,GNB,L 24-34,5,5,Sun,4,3,29,9.67,0,75.0%,7.25
93,Geronimo Allison,WR,25.261,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,6,2,28,14.00,0,33.3%,4.67
94,Corey Davis ,WR,24.268,2019-10-06,NFL,TEN,,BUF,L 7-14,5,5,Sun,4,2,28,14.00,0,50.0%,7.00
95,Odell Beckham Jr.,WR,26.336,2019-10-07,NFL,CLE,@,SFO,L 3-31,5,5,Mon,6,2,27,13.50,0,33.3%,4.50
96,A.J. Brown,WR,22.098,2019-10-06,NFL,TEN,,BUF,L 7-14,5,5,Sun,2,2,27,13.50,0,100.0%,13.50
97,Charles Clay,TE,30.235,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,1,1,27,27.00,0,100.0%,27.00
98,Diontae Johnson ,WR,23.093,2019-10-06,NFL,PIT,,BAL,L 23-26,5,5,Sun,8,5,27,5.40,0,62.5%,3.38
99,Dare Ogunbowale,RB,25.155,2019-10-06,NFL,TAM,@,NOR,L 24-31,5,5,Sun,3,2,27,13.50,0,66.7%,9.00
100,Chris Conley,WR,26.346,2019-10-06,NFL,JAX,@,CAR,L 27-34,5,5,Sun,3,1,26,26.00,0,33.3%,8.67
101,Jeff Heuerman,TE,26.316,2019-10-06,NFL,DEN,@,LAC,W 20-13,5,5,Sun,3,1,26,26.00,0,33.3%,8.67
102,Auden Tate,WR,22.245,2019-10-06,NFL,CIN,,ARI,L 23-26,5,5,Sun,6,3,26,8.67,1,50.0%,4.33
103,Kendrick Bourne,WR,24.064,2019-10-07,NFL,SFO,,CLE,W 31-3,4,5,Mon,2,2,24,12.00,0,100.0%,12.00
104,LeSean McCoy,RB,31.086,2019-10-06,NFL,KAN,,IND,L 13-19,5,5,Sun,2,2,23,11.50,0,100.0%,11.50
105,Trent Sherfield,WR,23.222,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,3,1,23,23.00,0,33.3%,7.67
106,Robert Tonyan,TE,25.159,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,1,1,23,23.00,0,100.0%,23.00
107,Marquise Brown ,WR,22.124,2019-10-06,NFL,BAL,@,PIT,W 26-23,5,5,Sun,5,3,22,7.33,1,60.0%,4.40
108,Derek Carrier,TE,29.073,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,2,2,22,11.00,0,100.0%,11.00
109,KeeSean Johnson,WR,22.362,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,7,3,22,7.33,0,42.9%,3.14
110,Matt LaCosse,TE,27.015,2019-10-06,NFL,NWE,@,WAS,W 33-7,5,5,Sun,4,1,22,22.00,0,25.0%,5.50
111,Jordan Akins,TE,27.170,2019-10-06,NFL,HOU,,ATL,W 53-32,5,5,Sun,1,1,21,21.00,0,100.0%,21.00
112,Cole Beasley,WR,30.163,2019-10-06,NFL,BUF,@,TEN,W 14-7,5,5,Sun,4,3,21,7.00,0,75.0%,5.25
113,Ronald Jones II,RB,22.064,2019-10-06,NFL,TAM,@,NOR,L 24-31,5,5,Sun,3,2,21,10.50,0,66.7%,7.00
114,Nelson Agholor,WR,26.135,2019-10-06,NFL,PHI,,NYJ,W 31-6,5,5,Sun,3,1,20,20.00,0,33.3%,6.67
115,Darren Fells,TE,33.167,2019-10-06,NFL,HOU,,ATL,W 53-32,5,5,Sun,2,2,20,10.00,2,100.0%,10.00
116,Josh Jacobs,RB,21.237,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,3,3,20,6.67,0,100.0%,6.67
117,Kyle Juszczyk,RB,28.167,2019-10-07,NFL,SFO,,CLE,W 31-3,4,5,Mon,3,2,20,10.00,0,66.7%,6.67
118,Jack Doyle,TE,29.154,2019-10-06,NFL,IND,@,KAN,W 19-13,5,5,Sun,3,3,19,6.33,0,100.0%,6.33
119,Dion Lewis,RB,29.009,2019-10-06,NFL,TEN,,BUF,L 7-14,5,5,Sun,4,2,19,9.50,0,50.0%,4.75
120,Curtis Samuel ,WR,23.056,2019-10-06,NFL,CAR,,JAX,W 34-27,5,5,Sun,6,3,19,6.33,0,50.0%,3.17
121,DeAndre Washington,RB,26.226,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,3,3,19,6.33,0,100.0%,6.33
122,Keenan Allen,WR,27.162,2019-10-06,NFL,LAC,,DEN,L 13-20,5,5,Sun,6,4,18,4.50,0,66.7%,3.00
123,Tra Carson,RB,26.347,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,4,4,18,4.50,0,100.0%,4.50
124,Chase Edmonds,RB,23.176,2019-10-06,NFL,ARI,@,CIN,W 26-23,5,5,Sun,4,3,18,6.00,0,75.0%,4.50
125,Trey Quinn,WR,23.303,2019-10-06,NFL,WAS,,NWE,L 7-33,5,5,Sun,4,3,18,6.00,0,75.0%,4.50
126,Jalen Richard,RB,25.356,2019-10-06,NFL,OAK,,CHI,W 24-21,5,5,Sun,2,2,18,9.00,0,100.0%,9.00
127,Marquez Valdes-Scantling,WR,24.361,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,4,1,18,18.00,0,25.0%,4.50
128,Marcedes Lewis,TE,35.140,2019-10-06,NFL,GNB,@,DAL,W 34-24,5,5,Sun,2,2,17,8.50,0,100.0%,8.50
129,Jeremy Sprinkle,TE,25.057,2019-10-06,NFL,WAS,,NWE,L 7-33,5,5,Sun,3,2,17,8.50,0,66.7%,5.67
